file,score,sharp0,sharp1,area_ratio0,area_ratio1,center_norm0,center_norm1,tilt0,tilt1,size_balance,status
pair_028_cam0.png,0.744628,175.877,812.179,0.072709,0.069319,0.366708,0.465216,6.019,10.011,0.047740,selected
pair_027_cam0.png,0.652218,215.409,850.300,0.079161,0.059652,0.524547,0.320606,5.236,3.049,0.281084,selected
pair_007_cam0.png,0.620121,182.550,748.435,0.067079,0.061569,0.439059,0.335113,2.275,0.438,0.085658,selected
pair_012_cam0.png,0.586354,183.139,741.203,0.073681,0.063165,0.550516,0.402101,5.851,1.965,0.153700,selected
pair_014_cam0.png,0.586224,148.742,792.226,0.079201,0.051660,0.410092,0.329484,8.202,12.183,0.420921,selected
pair_010_cam0.png,0.573029,106.787,608.017,0.076636,0.062301,0.383579,0.557143,25.259,9.353,0.206357,selected
pair_026_cam0.png,0.558197,159.649,684.952,0.057871,0.070603,0.571078,0.307128,2.368,14.769,0.198211,selected
pair_008_cam0.png,0.530891,141.479,603.342,0.083889,0.061157,0.569475,0.407197,13.195,14.385,0.313443,selected
pair_025_cam0.png,0.517949,165.276,610.148,0.055131,0.048637,0.513566,0.080761,1.925,7.161,0.125162,selected
pair_024_cam0.png,0.508732,129.442,600.653,0.075121,0.045413,0.188071,0.498081,32.528,7.917,0.492933,selected
pair_013_cam0.png,0.505849,133.941,667.601,0.070869,0.055329,0.460252,0.420184,8.635,7.617,0.246283,selected
pair_001_cam0.png,0.505032,143.914,707.197,0.074704,0.062959,0.537576,0.489781,0.783,2.554,0.170636,selected
pair_029_cam0.png,0.430385,152.007,637.174,0.070452,0.047630,0.446001,0.324512,1.517,9.345,0.386544,not_selected
pair_000_cam0.png,0.422351,143.784,667.583,0.047043,0.073406,0.543209,0.283185,3.988,8.931,0.437733,selected
pair_020_cam0.png,0.407403,153.812,518.347,0.047583,0.038276,0.372603,0.229022,6.379,13.007,0.216816,selected
pair_019_cam0.png,0.403820,106.990,383.263,0.046427,0.046224,0.406115,0.275641,5.352,17.080,0.004376,selected
pair_018_cam0.png,0.390241,136.613,559.096,0.060506,0.040330,0.106662,0.410223,1.978,8.235,0.400160,selected
pair_006_cam0.png,0.377195,137.467,712.272,0.043395,0.064596,0.479530,0.347204,1.953,0.795,0.392654,not_selected
pair_011_cam0.png,0.365564,133.292,621.966,0.068579,0.046105,0.329020,0.440521,0.084,2.135,0.391931,selected
pair_005_cam0.png,0.349142,123.392,592.318,0.078377,0.045238,0.417121,0.464911,7.368,10.478,0.536174,selected
pair_015_cam0.png,0.298863,91.970,512.170,0.071431,0.044457,0.361920,0.329720,0.086,5.394,0.465514,not_selected
